Id,Url
0,https://saraktash.drom.ru/aro/24/44915077.html
1,https://krasnoyarsk.drom.ru/aro/24/48185764.html
2,https://shadrinsk.drom.ru/aro/24/47458072.html
3,https://vologda.drom.ru/aro/24/42661773.html
4,https://sharypovo.drom.ru/baw/007/46032443.html
5,https://murmansk.drom.ru/baw/007/47325565.html
6,https://moscow.drom.ru/aston_martin/dbs/48076578.html
7,https://moscow.drom.ru/aston_martin/vantage/48426147.html
8,https://spb.drom.ru/aston_martin/rapide/49086882.html
9,https://moscow.drom.ru/aston_martin/db9/48260640.html
10,https://simferopol.drom.ru/aston_martin/db9/47909845.html
11,https://krasnodar.drom.ru/aston_martin/vantage/46816290.html
12,https://vladivostok.drom.ru/aston_martin/db11/48236072.html
13,https://vladivostok.drom.ru/aston_martin/vantage/48852659.html
14,https://simferopol.drom.ru/dadi/smoothing/47340117.html
15,https://slavyansk-na-kubani.drom.ru/asia/rocsta/48745030.html
16,https://kuloy.drom.ru/asia/rocsta/43883877.html
17,https://zavodoukovsk.drom.ru/asia/rocsta/44529032.html
18,https://sevastopol.drom.ru/asia/rocsta/48166302.html
19,https://ust-ilimsk.drom.ru/asia/rocsta/48152905.html
20,https://spb.drom.ru/buick/rendezvous/46615329.html
21,https://moscow.drom.ru/buick/encore/49149118.html
22,https://omsk.drom.ru/buick/encore/49142761.html
23,https://spb.drom.ru/buick/rendezvous/46460834.html
24,https://korolev.drom.ru/buick/encore/49088423.html
25,https://novoagansk.drom.ru/buick/regal/48456182.html
26,https://krasnodar.drom.ru/buick/cascada/43434989.html
27,https://ekaterinburg.drom.ru/buick/regal/48444013.html
28,https://krasnodar.drom.ru/buick/encore/48441124.html
29,https://habarovsk.drom.ru/buick/lesabre/48098613.html
30,https://georgievsk.drom.ru/buick/rendezvous/47757857.html
31,https://spb.drom.ru/buick/encore/48774741.html
32,https://teguldet.drom.ru/buick/regal/49098893.html
33,https://novorossiysk.drom.ru/buick/encore_gx/47725158.html
34,https://habarovsk.drom.ru/buick/park_avenue/47723914.html
35,https://korolev.drom.ru/buick/rendezvous/48802862.html
36,https://moscow.drom.ru/buick/encore/48167313.html
37,https://sochi.drom.ru/buick/cascada/48391095.html
38,https://kemerovo.drom.ru/buick/regal/48722578.html
39,https://yartsevo.drom.ru/buick/encore/48662826.html
40,https://tula.drom.ru/buick/cascada/48782198.html
41,https://kaluga.drom.ru/buick/envision/48712346.html
42,https://anapa.drom.ru/buick/regal/48504049.html
