Id,SalePrice
1461,107515.97571472611
1462,169365.15210761336
1463,146113.02568212812
1464,183845.6278798311
1465,228732.21821991613
1466,168109.4501467259
1467,143466.31319618816
1468,158104.75779501183
1469,190624.3887147164
1470,86151.42655655238
1471,211106.26462475138
1472,132935.05808912075
1473,117836.60571965211
1474,176052.49910060116
1475,145611.32178396385
1476,343973.442732424
1477,242633.4749612451
1478,289791.55047977343
1479,275693.5673454761
1480,363035.01447621605
1481,279808.80548919307
1482,233471.28301809644
1483,189794.371742113
1484,200996.25972196666
1485,213054.5468195588
1486,231958.14973674485
1487,291656.4674846439
1488,245318.9450135473
1489,204840.16783604628
1490,197376.87541920153
1491,228061.58534712988
1492,113624.10367682515
1493,159631.78978553662
1494,285021.7767671915
1495,278492.3986008096
1496,219057.36223058726
1497,229167.36713337197
1498,203892.3548764102
1499,203892.3548764102
1500,185160.61949500334
1501,199693.75154275636
1502,197573.60181216974
1503,235998.78424379262
1504,258640.98272398757
1505,219267.9873327286
1506,177271.64208987457
1507,230762.36938181633
1508,180536.33117306544
1509,167582.88739137255
1510,125208.48429459936
1511,123997.38995728656
1512,158268.5766788304
1513,174428.20321096634
1514,151325.99696012653
1515,210615.54793970482
1516,162896.47886872754
1517,158781.2407250106
1518,144796.61879374468
1519,218636.11202630456
1520,120522.07577195435
1521,123839.42113068057
1522,164160.22948157563
1523,110110.03192513072
1524,97940.58221925536
1525,111517.85265541167
1526,112360.35306397706
1527,91575.02293669208
1528,145414.59539099564
1529,122207.07658908513
1530,154418.81850753826
1531,136806.76362154665
1532,109622.2267361396
1533,149685.60376657042
1534,128414.66704504236
1535,164745.2985696768
1536,125893.0158765587
1537,42263.89017842754
1538,243791.91302302256
1539,280756.61844882916
1540,160706.86265737712
1541,158368.03917268853
1542,145217.86899802738
1543,228905.5010289064
1544,98412.29010432531
1545,140570.21804174464
1546,143940.2196760062
1547,155267.16897331618
1548,155524.60029378036
1549,115098.47939181465
1550,141215.99205734182
1551,137200.21640748307
1552,143020.2041347164
1553,202221.25276845254
1554,150680.22294452935
1555,148535.21435675366
1556,69522.29073409457
1557,112940.98736807695
1558,129354.43135271783
1559,138913.01464296013
1560,148798.49573443035
1561,115482.38730294627
1562,125726.99839799208
1563,105830.97489759533
1564,132633.01914508184
1565,136160.98960594946
1566,200372.43306750318
1567,79516.73583909991
1568,203697.04375665312
1569,85436.1860601914
1570,155937.80184610243
1571,120325.34937898614
1572,122049.10776247908
1573,220110.487741294
1574,128683.79847993157
1575,216161.26707614373
1576,214964.07144800408
1577,205050.79293818757
1578,157051.63228430515
1579,111149.25872666432
1580,190685.09364221236
1581,135053.79254649617
1582,106462.85020401931
1583,265486.2985435814
1584,251177.69030714288
1585,164729.98458729257
1586,52781.246576321835
1587,112570.97816611847
1588,123312.85837532717
1589,80261.97234855525
1590,138674.5921224725
1591,90258.61604830867
1592,110156.83814345355
1593,126037.08599399161
1594,179247.72170302828
1595,148061.3078769356
1596,234599.0121654723
1597,174968.66467549282
1598,207000.4904062062
1599,215778.7744382232
1600,224045.80969727112
1601,26888.25772210912
1602,139253.8111533612
1603,69144.86483184967
1604,248004.41506584952
1605,262221.6094603905
1606,167048.27598405853
1607,188803.36643211337
1608,211580.17110456942
1609,204629.54273390488
1610,136371.61470809075
1611,126893.48511173014
1612,154056.07463600344
1613,131105.9871545571
1614,110096.13321595758
1615,97209.24441897316
1616,97209.24441897316
1617,97209.24441897316
1618,106357.53765294867
1619,122620.27814140715
1620,188396.0149370038
1621,127420.04786708349
1622,138214.5843518276
1623,256271.4503248974
1624,214700.79007032744
1625,127406.14915791035
1626,156472.4132534164
1627,165634.60519656507
1628,281546.4625818592
1629,187315.0920079508
1630,294131.31243480474
1631,200044.01197832925
1632,252638.16731295918
1633,195054.14923843413
1634,187801.48192373078
1635,179211.87563272144
1636,162045.92980820147
1637,162173.18972040594
1638,227957.68806927037
1639,168951.9505552913
1640,260762.5477277854
1641,170847.57647456342
1642,258330.89512798804
1643,260010.0458879063
1644,256692.7005291801
1645,145691.77547784543
1646,139727.71763317924
1647,164409.6121500792
1648,122470.35796676177
1649,115625.04214716799
1650,85203.61359691632
1651,85203.61359691632
1652,132935.05808912075
1653,132935.05808912075
1654,162475.22866444485
1655,157143.04612620265
1656,157630.85131519384
1657,162475.22866444485
1658,178323.3523273701
1659,145611.32178396385
1660,140003.48244681788
1661,367036.8914169016
1662,342026.5758108278
1663,327439.37221432815
1664,382503.9377151176
1665,312484.9899622925
1666,255165.66853865536
1667,312447.6476691414
1668,312853.58389103983
1669,280997.95246537204
1670,316276.24180083675
1671,233379.86917619893
1672,329494.3822334175
1673,287707.2468194936
1674,245898.16404443604
1675,191584.68511031443
1676,188846.5587824769
1677,212212.0464109934
1678,372920.4955676863
1679,295597.63949783356
1680,320278.1187415223
1681,297741.2328123981
1682,251479.72925118174
1683,214686.8913611543
1684,217372.36141345647
1685,198535.31348097892
1686,204945.48038711693
1687,213054.5468195588
1688,226534.5533566051
1689,224638.927437333
1690,219110.0185061226
1691,211369.54600242802
1692,266855.3617075002
1693,213054.5468195588
1694,160684.91529624336
1695,176889.14945195403
1696,262446.133271705
1697,176889.14945195403
1698,302819.5978981353
1699,269962.081964085
1700,249229.4081123354
1701,278860.99252955697
1702,250637.22884261634
1703,248636.2903722735
1704,250953.1664958284
1705,236735.97210128736
