Id,SalePrice
1,218287
2,168976
3,223429
4,237464
5,291358
6,147196
7,246975
8,233297
9,218781
10,110343
11,113959
12,320832
13,107329
14,233372
15,149299
16,181062
17,158096
18,118509
19,138995
20,124604
21,299770
22,167549
23,248466
24,136477
25,111498
26,266365
27,129483
28,267519
29,136940
30,59801
31,95521
32,118994
33,222060
34,161250
35,265524
36,298386
37,141061
38,144836
39,110659
40,64736
41,171144
42,124527
43,126655
44,107192
45,116380
46,274601
47,241386
48,266973
49,78071
50,110240
51,176105
52,167152
53,123985
54,304051
55,149812
56,179630
57,244390
58,219232
59,372454
60,101462
61,167763
62,114294
63,228106
64,216289
65,235540
66,304052
67,241201
68,208314
69,69303
70,247432
71,240149
72,93877
73,215086
74,135222
75,85302
76,82279
77,80267
78,120617
79,92117
80,140153
81,193428
82,170693
83,260841
84,133437
85,203447
86,273997
87,180458
88,169285
89,54548
90,57535
91,104308
92,141551
93,128095
94,216066
95,198851
96,177045
97,210631
98,85002
99,104318
100,67981
101,185032
102,190337
103,152829
104,218520
105,197932
106,260573
107,84196
108,98864
109,107772
110,197373
111,175263
112,201491
113,285389
114,212997
115,191670
116,177100
117,113449
118,135192
119,302949
120,175541
121,159148
122,87310
123,139728
124,168233
125,182642
126,100669
127,154875
128,77680
129,172592
130,141398
131,236363
132,202122
133,149873
134,224434
135,161978
136,216514
137,119754
138,251865
139,270806
140,191583
141,51935
142,222646
143,155273
144,209850
145,164170
146,186493
147,100629
148,229382
149,141972
150,123239
151,128552
152,270549
153,202497
154,171588
155,145767
156,115871
157,137146
158,276550
159,232643
160,252536
161,169288
162,335828
163,210305
164,52735
165,161436
166,100571
167,148338
168,288332
169,215557
170,243878
171,153376
172,188487
173,219528
174,174714
175,190852
176,212211
177,206239
178,171146
179,329470
180,129684
181,180078
182,196515
183,123414
184,232941
185,145129
186,407773
187,194875
188,135344
189,142473
190,243838
191,287129
192,206138
193,209355
194,213305
195,105196
196,177011
197,242097
198,314677
199,166232
200,270388
201,108496
202,170113
203,153184
204,149398
205,120572
206,204964
207,142089
208,87698
209,231170
210,162713
211,78747
212,166753
213,227421
214,133483
215,153919
216,124523
217,204227
218,94834
219,225694
220,194519
221,212597
222,211589
223,181102
224,101071
225,357485
226,122548
